state,name,hs_grad_2016,homeownership_2010,age_under_5_2017,age_over_65_2017,female_2010,black_2017,white_not_hispanic_2017,per_capita_income_2017,median_household_income_2017,density_2010,poverty_2017,unemployment_rate_2016,median_age_2019
Alabama,Autauga County,87.6,77.5,5.7,14.3,51.3,9.55,75.42,27841.7,55317,91.8,13.7,5.11,38.2
Alabama,Baldwin County,90,76.7,5.7,19,51.1,4.77,83.08,27779.85,52562,114.6,11.8,5.35,43
Alabama,Barbour County,73.8,68,5.5,17.4,46.9,24.02,45.74,17891.73,33368,31,27.2,8.36,40.4
Alabama,Bibb County,80.7,82.9,5.7,15.1,46.3,11.03,74.62,20572.05,43404,36.8,15.2,6.47,40.9
Alabama,Blount County,80,82,6.1,17.4,50.5,0.79,87.37,21367.39,47412,88.9,15.6,5.4,40.7
Alabama,Bullock County,66.6,76.9,5.8,15.2,45.8,37.82,21.61,15444.16,29655,17.5,28.5,6.86,40.2
Alabama,Butler County,81.1,69,5.9,18.5,53,22.43,52.25,17014.95,36326,27,24.4,6.93,40.8
Alabama,Calhoun County,82.4,70.7,5.7,16.5,51.8,10.27,72.72,23609.64,43686,195.7,18.6,6.55,39.6
Alabama,Chambers County,80.3,71.4,6.1,18.6,52.2,19.67,56.19,21079.51,37342,57.4,18.8,5.47,42
Alabama,Cherokee County,81.4,77.5,4.5,21,50.4,2.49,91.78,23067.93,40041,46.9,16.1,5.07,46.5
Alabama,Chilton County,80.2,75.1,6.5,15.5,50.5,4.78,80.37,22793.82,43501,63,19.4,5.5,38.7
Alabama,Choctaw County,78.9,85.6,5,21.5,51.7,21.17,56.26,20363.87,32122,15.2,22.3,8.53,46.3
Alabama,Clarke County,81,80,5.5,18.5,52.7,22.83,53.02,20099.21,33827,20.9,25.3,10.89,42.5
Alabama,Clay County,74.7,72.8,5,19.5,51,7.38,80.2,20879.67,37287,23.1,19.1,5.96,43.3
Alabama,Cleburne County,74.2,74.9,5.9,18.5,50.2,1.42,92.66,20158.98,37396,26.7,19.1,6,43.1
Alabama,Coffee County,85.1,69.7,6.2,16,50.6,8.65,71,25627.63,49821,73.6,16.1,5.88,39.3
Alabama,Colbert County,83.4,73.5,5.7,18.9,51.9,8.01,78.77,22915.45,45477,91.8,16.8,6.96,42.4
Alabama,Conecuh County,79.5,81.6,6.3,21.1,51.5,23.24,50.3,14814.23,30434,15.6,26.4,8.44,44.8
Alabama,Coosa County,72.9,83.7,3.5,21,50.4,16.61,65.27,19147.01,34792,17.7,14.4,5.98,48.4
Alabama,Covington County,80.9,74,5.8,20.3,51.6,6.58,83.48,22146.06,39467,36.6,17.6,6.77,43.3
Alabama,Crenshaw County,78.2,67.8,5.7,17.9,51.7,11.8,71.2,20466.8,38937,22.8,17.6,5.88,41.7
Alabama,Cullman County,82.2,74.7,6,17.8,50.6,0.58,92.33,21287.64,40997,109.4,16.4,4.98,40.8
Alabama,Dale County,85.9,61.2,6.6,15.8,50.6,9.72,69.46,22299.61,44711,89.6,19.6,5.8,37.3
Alabama,Dallas County,79.1,62.6,6.2,16.3,53.8,35.18,27.74,18042.21,30065,44.8,31.9,9.24,39.6
Alabama,DeKalb County,72.7,77.5,6,16,50.6,0.73,80.78,19007.97,38842,91.5,21.5,6.08,39.5
Alabama,Elmore County,86.7,77.6,5.8,14.1,51.2,10.7,73.42,27266.03,54981,128.2,13.5,4.77,38.7
Alabama,Escambia County,80.4,73.5,5.8,17,48.4,16.12,60.23,18527.38,35026,40.5,23.8,6.66,40
Alabama,Etowah County,82.4,73,5.6,17.8,51.5,7.78,78.3,21208.43,42064,195.2,17.9,5.92,41.4
Alabama,Fayette County,79.1,76,5.5,20,50.7,6.06,85.03,21654.89,36541,27.5,18.1,6.75,43.7
