County name,State,Urban Rural Code,Deaths involving COVID-19
Aleutians East Borough,AK,Noncore,
Anchorage Municipality,AK,Medium metro,743
Bethel Census Area,AK,Noncore,39
Denali Borough,AK,Noncore,
Dillingham Census Area,AK,Noncore,
Fairbanks North Star Borough,AK,Small metro,190
Hoonah-Angoon Census Area,AK,Noncore,
Juneau City and Borough,AK,Micropolitan,18
Kenai Peninsula Borough,AK,Noncore,86
Ketchikan Gateway Borough,AK,Micropolitan,17
Kodiak Island Borough,AK,Noncore,
Matanuska-Susitna Borough,AK,Medium metro,238
Nome Census Area,AK,Noncore,
North Slope Borough,AK,Noncore,
Northwest Arctic Borough,AK,Noncore,10
Petersburg Census Area,AK,Noncore,
Prince of Wales-Hyder Census Area,AK,Noncore,
Sitka City and Borough,AK,Noncore,10
Skagway Municipality,AK,Noncore,
Southeast Fairbanks Census Area,AK,Noncore,
Valdez-Cordova Census Area,AK,Noncore,
Wade Hampton Census Area,AK,Noncore,
Wrangell City and Borough,AK,Noncore,
Yukon-Koyukuk Census Area,AK,Noncore,
Autauga County,AL,Medium metro,186
Baldwin County,AL,Small metro,626
Barbour County,AL,Noncore,79
Bibb County,AL,Large fringe metro,46
Blount County,AL,Large fringe metro,101
Bullock County,AL,Noncore,
Butler County,AL,Noncore,80
Calhoun County,AL,Small metro,626
Chambers County,AL,Micropolitan,55
Cherokee County,AL,Noncore,42
Chilton County,AL,Large fringe metro,72
Choctaw County,AL,Noncore,27
Clarke County,AL,Noncore,36
Clay County,AL,Noncore,52
Cleburne County,AL,Noncore,28
Coffee County,AL,Micropolitan,191
Colbert County,AL,Small metro,327
Conecuh County,AL,Noncore,40
Coosa County,AL,Micropolitan,11
Covington County,AL,Noncore,243
Crenshaw County,AL,Noncore,61
Cullman County,AL,Micropolitan,397
Dale County,AL,Micropolitan,141
Dallas County,AL,Micropolitan,202
DeKalb County,AL,Noncore,204
Elmore County,AL,Medium metro,91
Escambia County,AL,Noncore,154
Etowah County,AL,Small metro,742
Fayette County,AL,Noncore,43
Franklin County,AL,Noncore,68
Geneva County,AL,Small metro,99
Greene County,AL,Noncore,
Hale County,AL,Small metro,30
Henry County,AL,Small metro,10
Houston County,AL,Small metro,1034
Jackson County,AL,Micropolitan,159
Jefferson County,AL,Large central metro,3814
Lamar County,AL,Noncore,18
Lauderdale County,AL,Small metro,496
Lawrence County,AL,Small metro,66
Lee County,AL,Small metro,566
Limestone County,AL,Medium metro,238
Lowndes County,AL,Medium metro,14
Macon County,AL,Noncore,16
Madison County,AL,Medium metro,1431
Marengo County,AL,Noncore,122
Marion County,AL,Noncore,120
Marshall County,AL,Micropolitan,387
Mobile County,AL,Medium metro,1953
Monroe County,AL,Noncore,65
Montgomery County,AL,Medium metro,1519
Morgan County,AL,Small metro,456
Perry County,AL,Noncore,16
Pickens County,AL,Small metro,38
Pike County,AL,Micropolitan,110
Randolph County,AL,Noncore,27
Russell County,AL,Medium metro,109
St. Clair County,AL,Large fringe metro,185
Shelby County,AL,Large fringe metro,316
Sumter County,AL,Noncore,19
Talladega County,AL,Micropolitan,287
Tallapoosa County,AL,Noncore,175
Tuscaloosa County,AL,Small metro,1052
Walker County,AL,Large fringe metro,357
Washington County,AL,Noncore,22
Wilcox County,AL,Noncore,14
Winston County,AL,Noncore,65
Arkansas County,AR,Noncore,33
Ashley County,AR,Noncore,26
Baxter County,AR,Micropolitan,369
Benton County,AR,Medium metro,1015
Boone County,AR,Micropolitan,156
Bradley County,AR,Noncore,29
Calhoun County,AR,Micropolitan,
Carroll County,AR,Noncore,32
Chicot County,AR,Noncore,30
Clark County,AR,Micropolitan,39
Clay County,AR,Noncore,48
Cleburne County,AR,Noncore,59
Cleveland County,AR,Small metro,12
Columbia County,AR,Micropolitan,92
Conway County,AR,Noncore,17
Craighead County,AR,Small metro,1098
Crawford County,AR,Medium metro,85
Crittenden County,AR,Large fringe metro,64
Cross County,AR,Noncore,42
Dallas County,AR,Noncore,28
Desha County,AR,Noncore,18
Drew County,AR,Noncore,32
Faulkner County,AR,Medium metro,462
Franklin County,AR,Noncore,34
Fulton County,AR,Noncore,55
Garland County,AR,Small metro,751
Grant County,AR,Medium metro,19
Greene County,AR,Micropolitan,88
Hempstead County,AR,Noncore,41
Hot Spring County,AR,Micropolitan,38
Howard County,AR,Noncore,37
Independence County,AR,Micropolitan,330
Izard County,AR,Noncore,31
Jackson County,AR,Noncore,25
Jefferson County,AR,Small metro,294
Johnson County,AR,Noncore,54
Lafayette County,AR,Noncore,
Lawrence County,AR,Noncore,30
Lee County,AR,Noncore,16
Lincoln County,AR,Small metro,17
Little River County,AR,Small metro,48
Logan County,AR,Noncore,42
Lonoke County,AR,Medium metro,59
Madison County,AR,Medium metro,13
Marion County,AR,Noncore,34
Miller County,AR,Small metro,39
