Recip_County,Recip_State,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Booster_Doses_Vax_Pct,Census2019_5PlusPop
Aleutians East Borough,AK,86.9,74.9,41.2,3269
Aleutians West Census Area,AK,77.8,64.2,38.5,5446
Anchorage Municipality,AK,79.2,70.6,49.4,268042
Bethel Census Area,AK,73.9,68.7,51.4,16410
Bristol Bay Borough,AK,95,95,40.7,778
Denali Borough,AK,65.6,55.5,53.1,2001
Dillingham Census Area,AK,59.3,53.5,49.1,4441
Fairbanks North Star Borough,AK,71,63.8,40.9,89670
Haines Borough,AK,76.7,71,61,2417
Hoonah-Angoon Census Area,AK,76.6,71.7,67.1,2050
Juneau City and Borough,AK,86.9,79.5,59.4,30167
Kenai Peninsula Borough,AK,55.5,49.9,51.8,55225
Ketchikan Gateway Borough,AK,74.1,67.3,50.9,13118
Kodiak Island Borough,AK,74.5,66.9,52.1,12049
Kusilvak Census Area,AK,74.1,68.8,46.1,7219
Lake and Peninsula Borough,AK,66.1,60.4,60.9,1435
Matanuska-Susitna Borough,AK,47.9,42.3,43.2,100961
Nome Census Area,AK,75.4,71.6,54.1,9008
North Slope Borough,AK,43.3,40.2,48.8,9056
Northwest Arctic Borough,AK,67.6,62.9,57.7,6817
Petersburg Census Area,AK,85.2,78.3,57.1,3091
Prince of Wales-Hyder Census Area,AK,59.9,54.4,55.5,5876
Sitka City and Borough,AK,87,80.7,61.2,8069
Skagway Municipality,AK,81.8,74.2,57.2,1127
Southeast Fairbanks Census Area,AK,47.5,42.9,41.7,6363
Unknown County,AK,,,37.2,
Valdez-Cordova Census Area,AK,70.3,64.6,49.6,8586
Wrangell City and Borough,AK,63.2,60.2,60.7,2396
Yakutat City and Borough,AK,82.6,79.4,57.4,549
Yukon-Koyukuk Census Area,AK,85.3,78.9,58.4,4829
Autauga County,AL,57.6,45.7,37.3,52592
Baldwin County,AL,66.5,53,39.1,211195
Barbour County,AL,57.5,47.2,36.9,23377
Bibb County,AL,43.6,36.2,41.3,21148
Blount County,AL,39.5,32.8,36.4,54388
Bullock County,AL,71.8,56.4,40.5,9536
Butler County,AL,51.1,40.7,37.3,18348
Calhoun County,AL,58.8,48.7,39.1,107037
Chambers County,AL,39.2,33,40.2,31372
Cherokee County,AL,39,32.2,41,24983
Chilton County,AL,45.4,37.4,35.7,41717
Choctaw County,AL,84.7,68.2,39.5,11927
Clarke County,AL,64.1,52.2,39.3,22251
Clay County,AL,52.1,43.5,37.7,12535
Cleburne County,AL,35.3,29.5,36.8,14013
Coffee County,AL,61.5,48.7,32.3,49147
Colbert County,AL,58.5,49.3,39,52108
Conecuh County,AL,58.3,45.2,34.4,11427
Coosa County,AL,50,41.9,42.7,10200
Covington County,AL,47.4,39,34.7,34850
Crenshaw County,AL,43.1,35.5,37,12981
Cullman County,AL,46.2,39.1,39.4,78592
Dale County,AL,59.2,49.3,32.7,45899
Dallas County,AL,60.6,47,42.5,34994
DeKalb County,AL,43,35.1,38.8,67244
Elmore County,AL,59.2,48.1,36.8,76475
Escambia County,AL,47.9,37.7,37.1,34431
Etowah County,AL,50.7,42.3,39.9,96304
Fayette County,AL,41.9,36.1,37.9,15400
Franklin County,AL,55,45.1,34.6,29235
Geneva County,AL,49.8,41.2,36.2,24841
Greene County,AL,65.6,52.6,48.5,7645
Hale County,AL,74.4,62.9,44.1,13661
Henry County,AL,55.8,46.5,38,16309
Houston County,AL,53,44.5,37.5,99251
Jackson County,AL,61.9,51,41.6,48849
Jefferson County,AL,74.6,60.9,42.7,616250
Lamar County,AL,52.4,45.3,44,13021
Lauderdale County,AL,59.2,48.2,40.8,87997
Lawrence County,AL,56.3,48.1,39.2,31090
Lee County,AL,50,41.9,40.7,154970
Limestone County,AL,48.1,40.2,36.9,93441
Lowndes County,AL,67.4,53.3,40.5,9140
Macon County,AL,62.7,50.4,44.3,17193
Madison County,AL,79.8,65.1,42,351047
Marengo County,AL,68.8,55.7,39.6,17698
Marion County,AL,43.6,37.3,39.5,28137
Marshall County,AL,57.2,47.2,37.4,89799
Mobile County,AL,62.7,51.8,38.4,386052
Monroe County,AL,56.1,44.8,39.7,19675
Montgomery County,AL,68.5,54.6,40.4,211186
Morgan County,AL,52.7,44.8,41.4,112434
Perry County,AL,60,50.1,44.2,8416
Pickens County,AL,63.7,51.8,42.1,18904
Pike County,AL,52.9,43.6,36.3,31363
Randolph County,AL,41.5,34.1,40.5,21444
Russell County,AL,58.1,44,36.3,53943
Shelby County,AL,46.3,37.6,38.4,205419
St. Clair County,AL,47.9,40.3,39.3,84312
Sumter County,AL,70.7,53.9,42,11714
Talladega County,AL,45.6,37.7,40.3,75705
Tallapoosa County,AL,46.9,39.6,44.9,38219
Tuscaloosa County,AL,54.6,45.2,39.2,196823
Unknown County,AL,,,31.4,
Walker County,AL,57.8,48.7,38.8,59667
Washington County,AL,57.1,47,36.9,15423
Wilcox County,AL,68.9,55.2,43.1,9719
Winston County,AL,27,22.5,36,22365
Arkansas County,AR,68,58.2,47.3,16353
Ashley County,AR,60.3,51.4,42,18549
Baxter County,AR,56.5,47.7,49.3,40029
Benton County,AR,70.2,57.5,44.4,259751
Boone County,AR,47,39.6,44.6,35180
Bradley County,AR,69.3,58.8,42.8,10117
Calhoun County,AR,45.8,39.7,42.4,4949
Carroll County,AR,60.9,50.3,43.8,26803
Chicot County,AR,68,56.3,40.4,9559
Clark County,AR,59,50.8,46.4,21146
Clay County,AR,53.9,47.3,48.5,13723
Cleburne County,AR,54.1,46.4,48.7,23801
Cleveland County,AR,63.5,55,44.1,7540
Columbia County,AR,62.5,50.7,36.6,22121
Conway County,AR,64.5,55.9,49.4,19597
Craighead County,AR,58,49.3,43.7,102572
Crawford County,AR,55.5,47.3,42.3,59233
Crittenden County,AR,58.6,47.7,36.5,44255
Cross County,AR,61.5,52.9,39.4,15423
Dallas County,AR,67.1,58.1,45.6,6635
Desha County,AR,74.6,62.5,42.3,10633
Drew County,AR,58.1,49.6,43.4,17104
Faulkner County,AR,62.2,53.2,44.7,118418
Franklin County,AR,56,49.9,42.9,16733
Fulton County,AR,42.5,35.8,48.5,11803
Garland County,AR,56.9,48,46.3,94061
Grant County,AR,55.6,48,41.9,17285
Greene County,AR,52.2,45.2,43.2,42336
Hempstead County,AR,53.5,42.7,32,20034
Hot Spring County,AR,50.8,44.7,46.1,32051
Howard County,AR,66.8,56.6,37.6,12264
Independence County,AR,53.1,45.1,45.9,35311
Izard County,AR,50.1,43.6,48,13064
Jackson County,AR,47.4,40.7,48.8,15767
Jefferson County,AR,61.4,48.6,40.1,62850
Johnson County,AR,61.1,51.3,40.2,24847
Lafayette County,AR,52.3,43.8,40.5,6294
Lawrence County,AR,57.3,48.5,42.9,15399
Lee County,AR,49.9,41.4,45,8395
Lincoln County,AR,44.4,36.8,40.8,12506
Little River County,AR,52.9,42.5,35.9,11551
Logan County,AR,56.5,49.1,43,20223
Lonoke County,AR,58.4,49.8,41.4,68547
Madison County,AR,53.4,45.6,45.3,15527
Marion County,AR,43.9,37.2,50.2,15914
Miller County,AR,44.5,33.6,30.3,40501
Mississippi County,AR,51,42.8,39.5,37709
Monroe County,AR,74.1,59.9,45.5,6302
Montgomery County,AR,45.7,38.3,48.4,8521
Nevada County,AR,60.3,47.6,34.8,7736
Newton County,AR,43.4,35.5,47.3,7355
Ouachita County,AR,64.3,55.7,43.1,22033
Perry County,AR,62.9,53.8,47.9,9819
Phillips County,AR,61.7,51.9,43.2,16433
Pike County,AR,53.9,43.5,39.9,10155
Poinsett County,AR,55.9,47.5,42.1,21987
Polk County,AR,46.8,37.8,37.5,18841
Pope County,AR,59.8,51.4,42.5,60060
Prairie County,AR,55.6,45.9,44.1,7632
Pulaski County,AR,74.3,62.6,50.7,366436
Randolph County,AR,53.5,43.6,43.7,16797
Saline County,AR,63.2,54.2,45.5,115441
Scott County,AR,60.3,50.7,37.4,9666
Searcy County,AR,47.5,40.4,46.6,7480
Sebastian County,AR,63.6,52.6,41.4,119308
Sevier County,AR,56.3,47.9,33.2,15739
Sharp County,AR,50,42.1,47.9,16484
St. Francis County,AR,61.6,52.1,37.4,23441
Stone County,AR,44.6,38.8,54,11893
Union County,AR,65.4,51.5,39.6,36146
Unknown County,AR,,,38,
Van Buren County,AR,49.6,43.8,52.4,15772
Washington County,AR,72.1,59.8,44.3,223256
White County,AR,53.6,45.6,40.3,74139
Woodruff County,AR,66.4,57.9,32.9,5968
Yell County,AR,60.3,51.3,40.2,20037
Unknown County,AS,,,58,
Apache County,AZ,95,95,54.1,67054
Cochise County,AZ,85.9,70.9,47.2,118765
Coconino County,AZ,94.9,82.4,52.9,135887
Gila County,AZ,70.8,62.4,53.1,51197
Graham County,AZ,75.3,67.5,46.7,36119
Greenlee County,AZ,50.2,45.4,50.6,8743
La Paz County,AZ,62.3,49.9,36.5,20138
Maricopa County,AZ,69.8,61.2,48.3,4209295
Mohave County,AZ,52.7,44.5,45.5,203031
Navajo County,AZ,95,84.4,53.6,103477
Pima County,AZ,88.6,74.3,54,990261
Pinal County,AZ,65.4,57.7,44.3,437450
Santa Cruz County,AZ,95,95,44.6,43279
Unknown County,AZ,,,48.5,
Yavapai County,AZ,59.3,51.6,52.1,225558
Yuma County,AZ,95,75.9,44.8,198675
Alameda County,CA,93.9,85.2,67.8,1576601
Alpine County,CA,,,,1080
Amador County,CA,59.4,50.2,56.2,38140
Butte County,CA,60.4,55.2,57.9,207124
Calaveras County,CA,56.7,44.1,51.6,43850
Colusa County,CA,69.6,62.8,41.2,20058
Contra Costa County,CA,89.6,84.3,66.2,1088902
Del Norte County,CA,50.9,45,57.1,26363
El Dorado County,CA,70.4,64.1,58.8,183982
Fresno County,CA,69.8,62.9,50.1,923550
Glenn County,CA,63.6,56.8,48.7,26407
Humboldt County,CA,75,68.1,61.5,128636
Imperial County,CA,95,95,44.4,166690
Inyo County,CA,,,,17041
Kern County,CA,61.9,55.4,46.7,831763
Kings County,CA,59.8,52.3,44.2,141258
Lake County,CA,67.5,60.8,51.7,60589
Lassen County,CA,43.5,38.8,42.4,29104
Los Angeles County,CA,83.2,74.5,57.8,9459251
Madera County,CA,62.4,55.4,48.1,145865
Marin County,CA,95,92.1,71.7,247200
Mariposa County,CA,,,,16474
Mendocino County,CA,77.5,69.3,54.7,81800
Merced County,CA,60.2,47.3,42.3,256412
Modoc County,CA,,,,8416
Mono County,CA,,,,13757
Monterey County,CA,83.9,75.6,54.1,404128
Napa County,CA,89.5,80.6,63.8,131112
Nevada County,CA,73.8,66.2,60.6,95544
Orange County,CA,81.8,74.2,59.7,2991060
Placer County,CA,74.7,69.5,61.2,377237
Plumas County,CA,,,,17899
Riverside County,CA,68.1,61.3,51.1,2314245
Sacramento County,CA,75.9,69.8,58.9,1453906
San Benito County,CA,75.1,69.3,58.5,58705
San Bernardino County,CA,65.7,59.7,50.5,2027649
San Diego County,CA,95,80.1,55.2,3135165
San Francisco County,CA,95,86.9,74.6,842196
San Joaquin County,CA,69.5,56.6,49.5,709493
San Luis Obispo County,CA,69,62.5,65.2,270357
San Mateo County,CA,95,87.2,71.3,724047
Santa Barbara County,CA,81.5,73.4,57.2,419143
Santa Clara County,CA,95,89.1,68.8,1815986
Santa Cruz County,CA,88.6,80.8,63.2,259767
Shasta County,CA,58,51.3,50.7,169600
Sierra County,CA,,,,2867
Siskiyou County,CA,61.9,55.5,51.2,41361
Solano County,CA,80.6,71,58.1,420851
Sonoma County,CA,87.6,80.6,65.8,470488
Stanislaus County,CA,61.7,46.5,41.7,511523
Sutter County,CA,68.6,62.7,49.1,90267
Tehama County,CA,50.1,44.4,50.6,61110
Trinity County,CA,,,,11717
Tulare County,CA,62.4,55.8,46.8,429810
Tuolumne County,CA,62.5,52.2,54.4,52070
Unknown County,CA,,,31.3,
Ventura County,CA,81.1,74,56.9,797613
Yolo County,CA,80.5,73.2,64,208725
Yuba County,CA,62.5,56.9,45.8,72553
Adams County,CO,77.3,71,52.5,481692
Alamosa County,CO,65.2,58.2,52.1,15204
Arapahoe County,CO,77.6,71,58.8,616582
Archuleta County,CO,66.4,59.5,59.1,13418
Baca County,CO,42.3,40.4,55.7,3387
Bent County,CO,28.7,27.5,60.4,5377
Boulder County,CO,90.2,82,68,312035
Broomfield County,CO,88.7,83.3,66.4,66918
Chaffee County,CO,71.8,66,66.6,19603
Cheyenne County,CO,35,34.4,47.1,1722
Clear Creek County,CO,56.9,50.7,58.2,9321
Conejos County,CO,55.8,51.1,57.4,7701
Costilla County,CO,65.6,61.9,61.6,3699
Crowley County,CO,23.7,22.3,51.5,5917
Custer County,CO,56.2,51.2,64.9,4890
Delta County,CO,54.2,49.1,57.2,29716
Denver County,CO,88,79.4,60.5,684897
Dolores County,CO,50.3,43.2,51.2,1981
Douglas County,CO,83.8,76.4,60.6,331127
Eagle County,CO,95,85.3,49.8,52122
El Paso County,CO,78.1,67.7,48.5,672877
Elbert County,CO,42.6,38.9,57.6,25552
Fremont County,CO,53.7,48,54.4,45865
Garfield County,CO,73.6,66.6,52.9,56004
Gilpin County,CO,67.3,59.8,62.1,6032
Grand County,CO,75.9,65,57.1,15136
Gunnison County,CO,79.9,71.5,58.9,16752
Hinsdale County,CO,71.7,68.9,62.1,793
Huerfano County,CO,62.1,55.9,59.8,6636
Jackson County,CO,50.1,47.4,58.6,1328
Jefferson County,CO,87.8,80.5,62,553262
